name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,normal_attack_effectiveness,fire_attack_effectiveness,water_attack_effectiveness,electric_attack_effectiveness,grass_attack_effectiveness,ice_attack_effectiveness,fighting_attack_effectiveness,poison_attack_effectiveness,ground_attack_effectiveness,fly_attack_effectiveness,psychic_attack_effectiveness,bug_attack_effectiveness,rock_attack_effectiveness,ghost_attack_effectiveness,dragon_attack_effectiveness,dark_attack_effectiveness,steel_attack_effectiveness,fairy_attack_effectiveness
Sneasel,215,Inner Focus~Keen Eye~Pickpocket,Dark~Ice,55,95,55,35,75,115,9,280,Sharp Claw Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,86,60,Field,20,35,TRUE,,Black,Upright,2,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
Teddiursa,216,Pickup~Quick Feet~Honey Gather,Normal,60,80,50,50,50,40,6,88,Little Bear Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,120,Field,20,70,TRUE,,Brown,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Ursaring,217,Guts~Quick Feet~Unnerve,Normal,90,130,75,75,75,55,18,1258,Hibernator Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,175,60,Field,20,70,FALSE,Teddiursa,Brown,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Slugma,218,Magma Armor~Flame Body~Weak Armor,Fire,40,40,40,70,40,20,7,350,Lava Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,190,Amorphous,20,70,TRUE,,Red,Squiggle,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Magcargo,219,Magma Armor~Flame Body~Weak Armor,Fire~Rock,60,50,120,90,80,30,8,550,Lava Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,151,75,Amorphous,20,70,FALSE,Slugma,Red,Squiggle,3,0.5,0.25,4,1,1,0.5,2,0.5,4,0.5,1,0.5,2,1,1,1,1,0.5
Swinub,220,Oblivious~Snow Cloak~Thick Fat,Ice~Ground,50,50,40,30,30,50,4,65,Pig Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,225,Field,20,70,TRUE,,Brown,Quadruped,3,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
Piloswine,221,Oblivious~Snow Cloak~Thick Fat,Ice~Ground,100,100,80,60,60,50,11,558,Swine Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,158,75,Field,20,70,TRUE,Swinub,Brown,Quadruped,3,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
Corsola,222,Hustle~Natural Cure~Regenerator,Water~Rock,65,55,95,65,95,35,6,50,Coral Pokémon,2,0.75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,60,Water 1~Water 3,20,70,TRUE,,Pink,Armor,11,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,1
Corsola Galar,222,Weak Armor~Cursed Body,Ghost,60,55,100,65,100,30,6,5,Coral Pokémon,2,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,144,60,Water 1~Water 3,20,70,TRUE,,Pink,Armor,15,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
Remoraid,223,Hustle~Sniper~Moody,Water,35,65,35,65,35,65,6,120,Jet Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,190,Water 1~Water 2,20,70,TRUE,,Gray,Fish,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Octillery,224,Suction Cups~Sniper~Moody,Water,75,105,75,105,75,45,9,285,Jet Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,168,75,Water 1~Water 2,20,70,FALSE,Remoraid,Red,Tentacles,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Delibird,225,Vital Spirit~Hustle~Insomnia,Ice~Flying,45,55,45,65,45,75,9,160,Delivery Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,116,45,Water 1~Field,20,70,FALSE,,Red,Wings,2,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,1
Mantine,226,Swift Swim~Water Absorb~Water Veil,Water~Flying,85,40,70,80,140,70,21,2200,Kite Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,170,25,Water 1,25,70,FALSE,Mantyke,Purple,Wings,8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Skarmory,227,Keen Eye~Sturdy~Weak Armor,Steel~Flying,65,80,140,40,70,70,17,505,Armor Bird Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,163,25,Flying,25,70,FALSE,,Gray,Wings,3,0.5,2,1,2,0.25,1,1,0,0,0.5,0.5,0.25,1,1,0.5,1,0.5,0.5
Houndour,228,Early Bird~Flash Fire~Unnerve,Dark~Fire,45,60,30,80,50,65,6,108,Dark Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,120,Field,20,35,TRUE,,Black,Quadruped,4,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
Houndoom,229,Early Bird~Flash Fire~Unnerve,Dark~Fire,75,90,50,110,80,95,14,350,Dark Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,175,45,Field,20,35,FALSE,Houndour,Black,Quadruped,4,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
Houndoom Mega,229,Solar Power,Dark~Fire,75,90,90,140,90,115,19,495,Dark Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,210,45,Field,20,35,FALSE,Houndour,Black,Quadruped,4,1,0.5,2,1,0.5,0.5,2,1,2,1,0,1,2,0.5,1,0.5,0.5,1
Kingdra,230,Swift Swim~Sniper~Damp,Water~Dragon,75,95,95,95,95,85,18,1520,Dragon Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,243,45,Water 1~Dragon,20,70,FALSE,Seadra,Blue,Blob,3,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
Phanpy,231,Pickup~Sand Veil,Ground,90,60,60,40,40,40,5,335,Long Nose Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,120,Field,20,70,TRUE,,Blue,Quadruped,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Donphan,232,Sturdy~Sand Veil,Ground,90,120,120,60,60,50,11,1200,Armor Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,175,60,Field,20,70,FALSE,Phanpy,Gray,Quadruped,17,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Porygon2,233,Trace~Download~Analytic,Normal,85,80,90,105,95,60,6,325,Virtual Pokémon,2,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,180,45,Mineral,20,70,TRUE,Porygon,Red,Legs,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Stantler,234,Intimidate~Frisk~Sap Sipper,Normal,73,95,62,85,65,85,14,712,Big Horn Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,163,45,Field,20,70,FALSE,,Brown,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Smeargle,235,Own Tempo~Technician~Moody,Normal,55,20,35,20,45,75,12,580,Painter Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,88,45,Field,20,70,FALSE,,White,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Tyrogue,236,Guts~Steadfast~Vital Spirit,Fighting,35,35,35,35,35,35,7,210,Scuffle Pokémon,2,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,42,75,Undiscovered,25,70,TRUE,,Purple,Humanoid,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Hitmontop,237,Intimidate~Technician~Steadfast,Fighting,50,95,95,35,110,70,14,480,Handstand Pokémon,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,45,Human-Like,25,70,FALSE,Tyrogue,Brown,Upright,29,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Smoochum,238,Oblivious~Forewarn~Hydration,Ice~Psychic,45,30,15,85,65,65,4,60,Kiss Pokémon,2,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,61,45,Undiscovered,25,70,TRUE,,Pink,Humanoid,5,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
Elekid,239,Static~Vital Spirit,Electric,45,63,37,65,55,95,6,235,Electric Pokémon,2,0.25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,72,45,Undiscovered,25,70,TRUE,,Yellow,Humanoid,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Magby,240,Flame Body~Vital Spirit,Fire,45,75,37,70,55,83,7,214,Live Coal Pokémon,2,0.25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,73,45,Undiscovered,25,70,TRUE,,Red,Upright,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Miltank,241,Thick Fat~Scrappy~Sap Sipper,Normal,95,80,105,40,70,100,12,755,Milk Cow Pokémon,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,172,45,Field,20,70,FALSE,,Pink,Upright,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Blissey,242,Natural Cure~Serene Grace~Healer,Normal,255,10,10,75,135,55,15,468,Happiness Pokémon,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,608,30,Fairy,40,140,FALSE,Chansey,Pink,Humanoid,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Raikou,243,Pressure~Inner Focus,Electric,90,85,75,115,100,115,19,1780,Thunder Pokémon,2,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,3,Undiscovered,80,35,FALSE,,Yellow,Quadruped,34,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Entei,244,Pressure~Inner Focus,Fire,115,115,85,90,75,100,21,1980,Volcano Pokémon,2,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,3,Undiscovered,80,35,FALSE,,Brown,Quadruped,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Suicune,245,Pressure~Inner Focus,Water,100,75,115,90,115,85,20,1870,Aurora Pokémon,2,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,3,Undiscovered,80,35,FALSE,,Blue,Quadruped,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Larvitar,246,Guts~Sand Veil,Rock~Ground,50,64,50,45,50,41,6,720,Rock Skin Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,45,Monster,40,35,TRUE,,Green,Upright,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Pupitar,247,Shed Skin,Rock~Ground,70,84,70,65,70,51,12,1520,Hard Shell Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,45,Monster,40,35,TRUE,Larvitar,Gray,Squiggle,9,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Tyranitar,248,Sand Stream~Unnerve,Rock~Dark,100,134,110,95,100,61,20,2020,Armor Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,270,45,Monster,40,35,FALSE,Pupitar,Green,Upright,2,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
Tyranitar Mega,248,Sand Stream,Rock~Dark,100,164,150,95,120,71,25,2550,Armor Pokémon,2,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,315,45,Monster,40,35,FALSE,Pupitar,Green,Upright,2,0.5,0.5,2,1,2,1,4,0.5,2,0.5,0,2,1,0.5,1,0.5,2,2
Lugia,249,Pressure~Multiscale,Psychic~Flying,106,90,130,90,154,110,52,2160,Diving Pokémon,2,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,306,3,Undiscovered,120,0,FALSE,,White,Wings,8,1,1,1,2,0.5,2,0.25,1,0,1,0.5,1,2,2,1,2,1,1
Ho Oh,250,Pressure~Regenerator,Fire~Flying,106,130,90,110,154,90,38,1990,Rainbow Pokémon,2,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,306,3,Undiscovered,120,0,FALSE,,Red,Wings,7,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
Celebi,251,Natural Cure,Psychic~Grass,100,100,100,100,100,100,6,50,Time Travel Pokémon,2,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,270,45,Undiscovered,120,100,FALSE,,Green,Humanoid,4,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
Treecko,252,Overgrow~Unburden,Grass,40,45,35,65,55,70,5,50,Wood Gecko Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,45,Monster~Dragon,20,70,TRUE,,Green,Upright,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Grovyle,253,Overgrow~Unburden,Grass,50,65,45,85,65,95,9,216,Wood Gecko Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster~Dragon,20,70,TRUE,Treecko,Green,Upright,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Sceptile,254,Overgrow~Unburden,Grass,70,85,65,105,85,120,17,522,Forest Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,239,45,Monster~Dragon,20,70,FALSE,Grovyle,Green,Upright,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Sceptile Mega,254,Lightning Rod,Grass~Dragon,70,110,75,145,85,145,19,552,Forest Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,284,45,Monster~Dragon,20,70,FALSE,Grovyle,Green,Upright,5,1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
Torchic,255,Blaze~Speed Boost,Fire,45,60,40,70,50,45,4,25,Chick Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,45,Field,20,70,TRUE,,Red,Legs,34,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Combusken,256,Blaze~Speed Boost,Fire~Fighting,60,85,60,85,60,55,9,195,Young Fowl Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Field,20,70,TRUE,Torchic,Red,Upright,7,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
Blaziken,257,Blaze~Speed Boost,Fire~Fighting,80,120,70,110,70,80,19,520,Blaze Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,239,45,Field,20,70,FALSE,Combusken,Red,Upright,7,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
Blaziken Mega,257,Speed Boost,Fire~Fighting,80,160,80,130,80,100,19,520,Blaze Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,284,45,Field,20,70,FALSE,Combusken,Red,Upright,7,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
Mudkip,258,Torrent~Damp,Water,50,70,50,50,50,40,4,76,Mud Fish Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,62,45,Monster~Water 1,20,70,TRUE,,Blue,Quadruped,72,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Marshtomp,259,Torrent~Damp,Water~Ground,70,85,70,60,70,50,7,280,Mud Fish Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,142,45,Monster~Water 1,20,70,TRUE,Mudkip,Blue,Upright,10,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Swampert,260,Torrent~Damp,Water~Ground,100,110,90,85,90,60,15,819,Mud Fish Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,241,45,Monster~Water 1,20,70,FALSE,Marshtomp,Blue,Upright,10,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Swampert Mega,260,Swift Swim,Water~Ground,100,150,110,95,110,70,19,1020,Mud Fish Pokémon,3,0.125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,286,45,Monster~Water 1,20,70,FALSE,Marshtomp,Blue,Upright,10,1,0.5,1,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,1
Poochyena,261,Run Away~Quick Feet~Rattled,Dark,35,55,35,30,30,35,5,136,Bite Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56,255,Field,15,70,TRUE,,Gray,Quadruped,14,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Mightyena,262,Intimidate~Quick Feet~Moxie,Dark,70,90,70,60,60,70,10,370,Bite Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,147,127,Field,15,70,FALSE,Poochyena,Gray,Quadruped,14,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Zigzagoon,263,Pickup~Gluttony~Quick Feet,Normal,38,30,41,30,41,60,4,175,Tiny Raccoon Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56,255,Field,15,70,TRUE,,Brown,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Zigzagoon Galar,263,Pickup~Gluttony~Quick Feet,Dark~Normal,38,30,41,30,41,60,4,175,Tiny Raccoon Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,255,Field,15,70,TRUE,,Brown,Quadruped,5,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Linoone,264,Pickup~Gluttony~Quick Feet,Normal,78,70,61,50,61,100,5,325,Rushing Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,147,90,Field,15,70,TRUE,Zigzagoon,White,Quadruped,71,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Linoone Galar,264,Pickup~Gluttony~Quick Feet,Dark~Normal,78,70,61,50,61,100,5,325,Rushing Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,147,90,Field,15,70,TRUE,Zigzagoon,White,Quadruped,5,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
Wurmple,265,Shield Dust~Run Away,Bug,45,45,35,20,30,20,3,36,Worm Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56,255,Bug,15,70,TRUE,,Red,Armor,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Silcoon,266,Shed Skin,Bug,50,35,55,25,25,15,6,100,Cocoon Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,15,70,FALSE,Wurmple,White,Ball,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Beautifly,267,Swarm~Rivalry,Bug~Flying,60,70,50,100,50,65,10,284,Butterfly Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,178,45,Bug,15,70,FALSE,Silcoon,Yellow,Bug-Wings,14,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Cascoon,268,Shed Skin,Bug,50,35,55,25,25,15,7,115,Cocoon Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,72,120,Bug,15,70,FALSE,Wurmple,Purple,Ball,19,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
Dustox,269,Shield Dust~Compound Eyes,Bug~Poison,60,50,70,50,90,65,12,316,Poison Moth Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,173,45,Bug,15,70,FALSE,Cascoon,Green,Bug-Wings,13,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Lotad,270,Swift Swim~Rain Dish~Own Tempo,Water~Grass,40,30,30,40,50,30,5,26,Water Weed Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,44,255,Water 1~Grass,15,70,TRUE,,Green,Armor,3,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
Lombre,271,Swift Swim~Rain Dish~Own Tempo,Water~Grass,60,50,50,60,70,50,12,325,Jolly Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,119,120,Water 1~Grass,15,70,TRUE,Lotad,Green,Humanoid,3,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
Ludicolo,272,Swift Swim~Rain Dish~Own Tempo,Water~Grass,80,70,70,90,100,70,15,550,Carefree Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,216,45,Water 1~Grass,15,70,FALSE,Lombre,Green,Humanoid,3,1,1,0.25,1,1,1,1,2,0.5,2,1,2,1,1,1,1,0.5,1
Seedot,273,Chlorophyll~Early Bird~Pickpocket,Grass,40,40,50,30,30,30,5,40,Acorn Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,44,255,Field~Grass,15,70,TRUE,,Brown,Legs,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Nuzleaf,274,Chlorophyll~Early Bird~Pickpocket,Grass~Dark,70,70,40,60,40,60,10,280,Wily Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,119,120,Field~Grass,15,70,TRUE,Seedot,Brown,Humanoid,4,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
Shiftry,275,Chlorophyll~Early Bird~Pickpocket,Grass~Dark,90,100,60,90,60,80,13,596,Wicked Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,216,45,Field~Grass,15,70,FALSE,Nuzleaf,Brown,Humanoid,4,1,2,0.5,0.5,0.5,2,2,2,0.5,2,0,4,1,0.5,1,0.5,1,2
Taillow,276,Guts~Scrappy,Normal~Flying,40,55,30,30,30,85,3,23,Tiny Swallow Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,54,200,Flying,15,70,TRUE,,Blue,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Swellow,277,Guts~Scrappy,Normal~Flying,60,85,60,75,50,125,7,198,Swallow Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,45,Flying,15,70,FALSE,Taillow,Blue,Wings,27,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Wingull,278,Keen Eye~Hydration~Rain Dish,Water~Flying,40,30,30,55,30,85,6,95,Seagull Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,54,190,Water 1~Flying,20,70,TRUE,,White,Wings,8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Pelipper,279,Keen Eye~Drizzle~Rain Dish,Water~Flying,60,50,100,95,70,65,12,280,Water Bird Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,154,45,Water 1~Flying,20,70,FALSE,Wingull,Yellow,Wings,8,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
Ralts,280,Synchronize~Trace~Telepathy,Psychic~Fairy,28,25,25,45,35,40,4,66,Feeling Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,40,235,Human-Like~Amorphous,20,35,TRUE,,White,Humanoid,9,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Kirlia,281,Synchronize~Trace~Telepathy,Psychic~Fairy,38,35,35,65,55,50,8,202,Emotion Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,97,120,Human-Like~Amorphous,20,35,TRUE,Ralts,White,Humanoid,9,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Gardevoir,282,Synchronize~Trace~Telepathy,Psychic~Fairy,68,65,65,125,115,80,16,484,Embrace Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,233,45,Human-Like~Amorphous,20,35,FALSE,Kirlia,White,Humanoid,9,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Gardevoir Mega,282,Pixilate,Psychic~Fairy,68,85,65,165,135,100,16,484,Embrace Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,278,45,Human-Like~Amorphous,20,35,FALSE,Kirlia,White,Humanoid,9,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
Surskit,283,Swift Swim~Rain Dish,Bug~Water,40,30,32,50,52,65,5,17,Pond Skater Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,54,200,Water 1~Bug,15,70,TRUE,,Blue,Armor,5,1,1,0.5,2,1,0.5,0.5,1,0.5,2,1,1,2,1,1,1,0.5,1
Masquerain,284,Intimidate~Unnerve,Bug~Flying,70,60,62,100,82,80,8,36,Eyeball Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,159,75,Water 1~Bug,15,70,FALSE,Surskit,Blue,Bug-Wings,14,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
Shroomish,285,Effect Spore~Poison Heal~Quick Feet,Grass,60,40,60,40,60,35,4,45,Mushroom Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,59,255,Fairy~Grass,15,70,TRUE,,Brown,Legs,43,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
Breloom,286,Effect Spore~Poison Heal~Technician,Grass~Fighting,60,130,80,60,60,70,12,392,Mushroom Pokémon,3,0.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,161,90,Fairy~Grass,15,70,FALSE,Shroomish,Green,Upright,3,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2
